date,Ireland,Leinster,Munster,Connacht,Ulster
1861,24.5,2.4,36.0,44.8,16.7
1871,19.8,1.2,27.7,39.0,15.1
1881,23.9,2.1,33.5,44.6,19.5
1891,19.2,1.2,26.2,37.9,17.8
1901,19.2,2.3,25.7,38.0,20.7
1911,17.6,3.5,22.1,35.5,20.4
1926,19.3,9.4,21.6,33.3,23.9
1936,23.7,15.9,25.2,36.7,28.3
1946,21.2,15.1,22.0,33.2,26.0
1961,27.2,22.2,28.7,37.6,31.4
1971,28.3,24.5,30.6,37.2,29.5
1981,31.6,28.2,34.6,38.8,30.8
1986,31.1,27.4,34.8,38.7,30.1
1991,32.5,28.8,36.5,40.2,31.3
1996,41.1,37.4,45.4,48.2,39.3
2001,41.9,38.2,46.8,48.5,39.4
2006,40.8,37.5,45.4,46.5,38.5
2011,40.6,37.4,45.2,46.2,38.0
