ID,GID,NAME,Population,Total Irish Speakers,All Speakers,Speaks Daily Within the Education System Only,Speaks Daily Within and Daily Outside the Classroom,Speaks Daily Within and Weekly Outside the Classroom,Speaks Daily Within and Less Often Outside the Classroom,Speaks Daily Within and Never Outside the Classroom,Speaks Daily (Not in Education System),Speaks Weekly (Not in Education System),Speaks Less Often (Not in Education System),Never Speaks (Not in Education System)
1,IRL_1,Carlow,56932,20243,35.56,33.52,0.84,0.41,0.25,0.17,1.63,5.08,32.62,24.55
2,IRL_2,Cavan,76176,25210,33.09,37.23,0.52,0.40,0.34,0.18,1.34,5.08,29.96,24.17
3,IRL_3,Clare,118817,52482,44.17,29.82,0.83,0.42,0.25,0.19,2.02,6.04,35.73,24.06
4,IRL_4,Cork,524868,224139,42.70,30.34,0.97,0.37,0.27,0.16,2.22,5.99,34.01,25.04
5,IRL_5,Donegal,159192,56738,35.64,32.26,3.07,0.47,0.28,0.13,10.90,7.38,28.80,15.96
6,IRL_6,Dublin,1347359,431413,32.02,30.02,1.24,0.35,0.27,0.16,2.72,6.00,33.45,25.01
7,IRL_7,Galway,258058,115389,44.71,27.46,2.57,0.37,0.22,0.11,9.41,7.24,33.58,18.29
8,IRL_8,Kerry,147707,61597,41.70,27.95,1.28,0.40,0.25,0.14,4.57,6.76,36.36,21.46
9,IRL_9,Kildare,222504,85426,38.39,35.19,1.16,0.40,0.28,0.16,2.06,5.80,31.35,23.04
10,IRL_10,Kilkenny,99232,38722,39.02,33.32,0.80,0.38,0.21,0.21,1.68,5.58,32.89,24.36
11,IRL_11,Laoighis,84697,32485,38.35,35.73,0.68,0.39,0.21,0.12,1.44,5.30,31.16,24.11
12,IRL_12,Leitrim,32044,12300,38.38,32.13,0.91,0.41,0.26,0.14,1.72,5.83,33.34,24.26
13,IRL_13,Limerick,194899,77313,39.67,29.45,0.63,0.33,0.25,0.14,1.69,5.54,35.09,26.17
14,IRL_14,Longford,40873,14057,34.39,35.36,0.51,0.33,0.26,0.11,1.32,4.81,32.08,24.24
15,IRL_15,Louth,128884,42047,32.62,36.54,0.92,0.45,0.31,0.21,1.88,5.41,30.07,23.42
16,IRL_16,Mayo,130507,55097,42.22,29.14,0.96,0.41,0.31,0.13,3.23,6.67,35.88,22.53
17,IRL_17,Meath,195044,71763,36.79,37.37,1.18,0.41,0.32,0.19,2.11,5.60,30.09,22.14
18,IRL_18,Monaghan,61386,22065,35.94,37.20,1.24,0.41,0.29,0.18,1.90,5.51,29.83,22.59
19,IRL_19,Offaly,77961,27807,35.67,34.64,0.69,0.40,0.27,0.23,1.46,5.50,32.23,23.91
20,IRL_20,Roscommon,64544,25825,40.01,30.63,0.52,0.38,0.22,0.12,1.44,4.86,34.83,26.19
21,IRL_21,Sligo,65535,25196,38.45,29.20,0.69,0.35,0.29,0.21,1.73,5.36,35.69,25.93
22,IRL_22,Tipperary,159553,65391,40.98,31.56,0.61,0.38,0.21,0.16,1.61,5.31,33.54,25.92
23,IRL_23,Waterford,116176,45321,39.01,31.52,1.19,0.35,0.22,0.15,2.48,6.05,32.96,24.41
24,IRL_24,Westmeath,88770,32209,36.28,32.65,0.61,0.42,0.21,0.18,1.59,5.28,33.15,25.22
25,IRL_25,Wexford,149722,51230,34.22,36.22,0.77,0.39,0.27,0.24,1.56,5.21,29.75,24.97
26,IRL_26,Wicklow,142425,49955,35.07,35.29,1.18,0.35,0.24,0.22,2.17,5.82,30.55,23.54
